participant,Snippet,BA31,BA32
p16,ArrayAverage,-1.7443268967033623,-2.2699543697987807
p02,ArrayAverage,-2.0618265972995724,-2.411199055310677
p04,ArrayAverage,-2.2829710225286846,-2.2358073181741256
p07,ArrayAverage,-1.633781757760878,-0.8974428152538116
p18,ArrayAverage,-2.165418507194532,-1.3475842333932284
p19,ArrayAverage,-2.3701576048341666,-2.4182975572888346
p15,ArrayAverage,-2.418848405727125,-2.50189936515924
p01,ArrayAverage,-3.326985306766214,-2.509411987001006
p17,ArrayAverage,-3.1115754049566884,-0.39597708007885973
p05,ArrayAverage,-3.7783013271417087,-2.4432184837771547
p13,ArrayAverage,-1.7782853814149284,-1.5181081921582482
p14,ArrayAverage,-2.19542213650263,-2.1091615603182294
p11,ArrayAverage,-1.9704537166709697,-1.5072383600442374
p08,ArrayAverage,-2.110978887339418,-1.645041847663391
p03,ArrayAverage,-1.6774194444438604,-1.400042442160704
p09,ArrayAverage,-1.8043194244505794,-1.2612490975583077
p06,ArrayAverage,-1.4233299925284852,-1.3665807214889156
p10,ArrayAverage,-2.616001375191109,-1.704336475399078
p16,ContainsSubstring,-2.1849045236167224,-1.9798554481687742
p02,ContainsSubstring,-1.9546970533808246,-1.9456462189585624
p04,ContainsSubstring,-2.854966861619568,-2.980079935007759
p07,ContainsSubstring,-2.176882222977286,-1.2778865947042977
p18,ContainsSubstring,-1.3305761456074177,-0.2943464551541035
p19,ContainsSubstring,-2.650920381106494,-2.160097265830838
p15,ContainsSubstring,-2.5106652015321993,-3.7570559160154957
p01,ContainsSubstring,-2.9154622275295483,-2.738497373145949
p17,ContainsSubstring,-2.129591165957966,-1.1140497063470751
p05,ContainsSubstring,-1.5721651866892166,-0.8884928186928974
p13,ContainsSubstring,-2.22169232507655,-1.7149433571902462
p14,ContainsSubstring,-1.8427505285101544,-2.0088890649704316
p11,ContainsSubstring,-1.813931972559717,-2.152537008416956
p08,ContainsSubstring,-2.155709568689611,-1.866968919126574
p03,ContainsSubstring,-1.5595861546675578,-1.7584026719685861
p09,ContainsSubstring,-1.6717221166841698,-2.019506757549215
p06,ContainsSubstring,-1.399301863725725,-0.7232199004164429
p10,ContainsSubstring,-3.523087438274112,-3.1001593489943726
p16,CountVowels,-2.4342720879113946,-1.7977888174608858
p02,CountVowels,-3.41114149759109,-2.5539843385289878
p04,CountVowels,-2.8914089544103954,-2.07291618413906
p07,CountVowels,-1.3233866992051606,-0.9075524847576321
p18,CountVowels,-1.2637666461893617,-0.08172456847447826
p19,CountVowels,-1.2659090198149612,-1.3958990462575251
p15,CountVowels,-1.3613311031642708,-1.8605947303809431
p01,CountVowels,-3.0706201343278163,-1.778601023728645
p17,CountVowels,-2.831385323436442,-0.6755297941259637
p05,CountVowels,-2.166752366833684,-2.0444445542826455
p13,CountVowels,-1.5431520124992864,-1.469967004883755
p14,CountVowels,-1.6175489322329724,-2.409495692136839
p11,CountVowels,-2.014871988422401,-1.5073202676777258
p08,CountVowels,-1.5167923511854209,-2.072387007831436
p03,CountVowels,-1.0740451328329073,-0.9654804424181194
p09,CountVowels,-1.5375412578872565,-0.6063704720326376
p06,CountVowels,-1.150432517451201,-0.3220340875865044
p10,CountVowels,-2.1091058403547,-2.4028934330392984
p16,DumbSort,-0.911523556011054,-1.405745121826138
p02,DumbSort,-2.379427163908724,-1.611353044240025
p04,DumbSort,-1.9758364736312084,-2.5001600003844455
p07,DumbSort,-1.0995496921903207,-0.5109024259623719
p18,DumbSort,-1.6319699660214488,-0.1187035535006013
p19,DumbSort,-2.6969018791376778,-1.3080274221865713
p15,DumbSort,-1.8771812111865869,-1.4151157742699323
p01,DumbSort,-1.5301919882572623,-1.2061098374259154
p17,DumbSort,-1.3141704245283123,-0.9087383567872729
p05,DumbSort,-2.018264152349389,-2.396267791099616
p13,DumbSort,-1.7567033756088342,-1.7021304150377863
p14,DumbSort,-1.2404349240613,-0.6131342828115649
p11,DumbSort,-2.64581091462303,-1.8693081910861846
p08,DumbSort,-3.19452672804292,-2.3157918518802236
p03,DumbSort,-1.4660611582567733,-1.451634180615138
p09,DumbSort,-2.116484040232442,-2.529304799721417
p06,DumbSort,-1.6438605195997513,-0.6125589651319321
p10,DumbSort,-1.4742855354428617,-1.8724934685794654
p16,GreatestCommonDivisor,-1.921904452795707,-2.014796260245642
p02,GreatestCommonDivisor,-1.817043658607608,-1.9464830476864556
p04,GreatestCommonDivisor,-2.461783260655559,-2.116041790884835
p07,GreatestCommonDivisor,-1.4965729254918556,-1.082902959358584
p18,GreatestCommonDivisor,-1.7973166210073097,-1.1953965415198171
p19,GreatestCommonDivisor,-1.4401839848464724,-2.0173456925284654
p15,GreatestCommonDivisor,-2.357935497730912,-1.4567467658051607
p01,GreatestCommonDivisor,-1.7857311664129796,-1.6683721942805736
p17,GreatestCommonDivisor,-2.4199829078199557,-1.2086737223781658
p05,GreatestCommonDivisor,-1.5343286320112115,-1.4649684057255956
p13,GreatestCommonDivisor,-1.9638624013847026,-1.187702742884412
p14,GreatestCommonDivisor,-2.035332552210748,-1.2197695948407286
p11,GreatestCommonDivisor,-1.8869476982286573,-1.820030765820524
p08,GreatestCommonDivisor,-2.3560425648877334,-1.3086768218378095
p03,GreatestCommonDivisor,-2.3336634732188566,-2.0468756667933627
p09,GreatestCommonDivisor,-1.2974875067673286,-1.1994761088665784
p06,GreatestCommonDivisor,-2.0117799899206954,-0.8459167245651651
p10,GreatestCommonDivisor,-1.9778095193402696,-1.6795138955947437
p16,RecursiveBinaryToDecimal,-2.322984610526611,-2.35727253882089
p02,RecursiveBinaryToDecimal,-1.9929007816288478,-1.5690569776354304
p04,RecursiveBinaryToDecimal,-2.293369665308326,-2.6596514720102977
p07,RecursiveBinaryToDecimal,-1.5049808340176154,-0.913112246291491
p18,RecursiveBinaryToDecimal,-2.430227140821331,-0.4042316173370897
p19,RecursiveBinaryToDecimal,-1.7190736274541933,-0.9597139729881189
p15,RecursiveBinaryToDecimal,-2.2482713485498236,-1.7569986805757845
p01,RecursiveBinaryToDecimal,-2.522803124197497,-2.052397692862231
p17,RecursiveBinaryToDecimal,-1.4140671886810767,-0.779290432460711
p05,RecursiveBinaryToDecimal,-3.7175746513233063,-3.6121055540870173
p13,RecursiveBinaryToDecimal,-1.7067877813902617,-1.2757511483494173
p14,RecursiveBinaryToDecimal,-1.9995813055592762,-1.614595191922875
p11,RecursiveBinaryToDecimal,-2.8022663977988267,-2.5064666279117054
p08,RecursiveBinaryToDecimal,-2.4860693927723245,-2.4559066603712703
p03,RecursiveBinaryToDecimal,-2.5799434353585013,-3.104816317363361
p09,RecursiveBinaryToDecimal,-2.374001874954873,-2.2498289659486126
p06,RecursiveBinaryToDecimal,-1.2436496389534133,-1.8910971714323677
p10,RecursiveBinaryToDecimal,-1.8903710239760678,-2.18150092436363
p16,RecursiveCrossSum,-1.8693836994363648,-1.3763091232872247
p02,RecursiveCrossSum,-1.5831228262004409,-1.8023283043904703
p04,RecursiveCrossSum,-2.4603995101731533,-1.7791256455670519
p07,RecursiveCrossSum,-1.45949045354905,-0.7435321219020042
p18,RecursiveCrossSum,-1.4514114391971855,-0.4144589651637638
p19,RecursiveCrossSum,-3.2136671468577314,-1.7129928555606435
p15,RecursiveCrossSum,-0.5286952616318934,-0.40792574672861615
p01,RecursiveCrossSum,-2.8593269166073916,-2.1489410355604175
p17,RecursiveCrossSum,-0.8531161713905027,-0.008313500241148741
p05,RecursiveCrossSum,-1.8534322097667468,-1.495399045605957
p13,RecursiveCrossSum,-1.8661614919987817,-1.11416629607194
p14,RecursiveCrossSum,-1.7790260393637505,-1.9678185322721502
p11,RecursiveCrossSum,-3.484715797595082,-3.123436591173764
p08,RecursiveCrossSum,-1.9946283344627347,-0.9175699551650609
p03,RecursiveCrossSum,-1.4643318192625576,-0.8135387095843701
p09,RecursiveCrossSum,-2.902907486359431,-3.056914174363546
p06,RecursiveCrossSum,-1.2034283837725446,-1.7523662123569919
p10,RecursiveCrossSum,-2.02791763205064,-1.5791842447550923
p16,RecursiveFactorial,-1.4304498111662727,-1.081725207230106
p02,RecursiveFactorial,-2.602778600744813,-1.6396565330817896
p04,RecursiveFactorial,-2.5458789045436387,-3.186314477214888
p07,RecursiveFactorial,-0.4487065297105772,-0.6536789556935818
p18,RecursiveFactorial,-1.0153228194755277,-0.3960742131070518
p19,RecursiveFactorial,-2.7945113240864776,-2.33399672937518
p15,RecursiveFactorial,-1.3140531975372587,-0.9319768613762817
p01,RecursiveFactorial,-1.6383616214171737,-1.7392815235609365
p17,RecursiveFactorial,-0.2572988726256732,-0.009195457347999425
p05,RecursiveFactorial,-1.2004612576406144,-1.8756619070174918
p13,RecursiveFactorial,-1.249106151550743,-0.9377363990799741
p14,RecursiveFactorial,-1.892688690427011,-1.1424158370094686
p11,RecursiveFactorial,-2.511446113257713,-2.241576548955427
p08,RecursiveFactorial,-2.7209112417238224,-2.3465695445715347
p03,RecursiveFactorial,-1.1591082044294958,-0.7102512233862823
p09,RecursiveFactorial,-0.971454195380673,-1.4450808845594976
p06,RecursiveFactorial,-0.8821079311091087,-1.0644141764772672
p10,RecursiveFactorial,-1.1912940926677833,-1.0893559552958683
p16,RecursiveFibonacciVariant,-2.323298554248909,-1.8804651295276047
p02,RecursiveFibonacciVariant,-2.2838943016269457,-1.4628205611105574
p04,RecursiveFibonacciVariant,-2.0689237321333422,-2.727792397739621
p07,RecursiveFibonacciVariant,-0.8670866747102164,-0.59845339604224
p18,RecursiveFibonacciVariant,-1.6093478589808599,-0.001018251299119144
p19,RecursiveFibonacciVariant,-2.602623534751986,-1.9674713581782597
p15,RecursiveFibonacciVariant,-1.9983595328531107,-1.5097665043995139
p01,RecursiveFibonacciVariant,-2.59953342002457,-2.241690626575374
p17,RecursiveFibonacciVariant,-1.213683221481686,-0.29932660875077677
p05,RecursiveFibonacciVariant,-1.08582358390442,-1.3718630658195692
p13,RecursiveFibonacciVariant,-2.2254530612604357,-2.0253974897647966
p14,RecursiveFibonacciVariant,-1.8147633772328073,-1.1501911171140655
p11,RecursiveFibonacciVariant,-2.128391688609348,-2.150769032000317
p08,RecursiveFibonacciVariant,-1.005397125793574,-1.0203680057230216
p03,RecursiveFibonacciVariant,-3.001389157557729,-2.3346116406489075
p09,RecursiveFibonacciVariant,-1.375333542830463,-0.925138218146636
p06,RecursiveFibonacciVariant,-1.3636035781473002,-0.9018363789071313
p10,RecursiveFibonacciVariant,-1.4808365866574231,-1.6908220310060087
p16,RecursivePower,-2.4138707470304546,-1.2148080791148284
p02,RecursivePower,-2.7153110142964896,-1.7988614768334577
p04,RecursivePower,-2.4441865488055727,-2.666922049371401
p07,RecursivePower,-1.2747401973769303,-1.275060061386371
p18,RecursivePower,-1.5097672462683391,-0.21482524862193988
p19,RecursivePower,-1.9220863932663579,-2.376621077572559
p15,RecursivePower,-1.378139910445945,-1.6940838112707475
p01,RecursivePower,-1.1527325591295297,-1.2566472554497694
p17,RecursivePower,-2.0786299768100824,-0.7511199322281512
p05,RecursivePower,-3.1049900514120194,-3.0003321890345784
p13,RecursivePower,-1.4434065705254708,-1.5839129006769435
p14,RecursivePower,-2.409355347384696,-2.278884151741385
p11,RecursivePower,-1.8113199985987911,-1.102501637647474
p08,RecursivePower,-2.5300554011406917,-2.2246267520776017
p03,RecursivePower,-1.4972140318926759,-1.6768463854916629
p09,RecursivePower,-1.89254479482732,-1.2802325275987894
p06,RecursivePower,-0.9092774956184839,-1.1678357073335206
p10,RecursivePower,-1.658904674553667,-2.4975635487723125
p16,SquareRoot,-2.152960312681669,-1.5255927246290273
p02,SquareRoot,-2.0139606954158564,-2.413252122793481
p04,SquareRoot,-2.4146531464000027,-2.428862359690873
p07,SquareRoot,-2.357493469623778,-1.0195975759494114
p18,SquareRoot,-1.1692647007050831,-0.5022762736868404
p19,SquareRoot,-2.1215123077515172,-2.9121023207030543
p15,SquareRoot,-3.4429967744517036,-3.389032524610872
p01,SquareRoot,-1.4060407093915386,-0.6754374886305802
p17,SquareRoot,-2.138055931724238,-1.0653663199879322
p05,SquareRoot,-1.3563285409445287,-1.3561700247310384
p13,SquareRoot,-2.180745277303637,-1.4408211305171243
p14,SquareRoot,-1.8356842654898982,-1.6926368605999624
p11,SquareRoot,-2.384517722128389,-2.873705698324236
p08,SquareRoot,-2.683202210624848,-3.5089841133081663
p03,SquareRoot,-2.0956208464411215,-1.4764797956908589
p09,SquareRoot,-1.8347231004366449,-1.2927306341831712
p06,SquareRoot,-2.2697262575703676,-0.9531578961869295
p10,SquareRoot,-2.2176661052551836,-2.2361902486882173
p16,YesNo,-3.1019420599467784,-3.1593386676413493
p02,YesNo,-1.2951922691704096,-1.3549357039571595
p04,YesNo,-2.8991523608144494,-1.9158513121248726
p07,YesNo,-1.247310238149132,-0.8107528109640606
p18,YesNo,-2.742610434911123,-0.31490604154418145
p19,YesNo,-2.763432945312161,-1.7273755726050144
p15,YesNo,-1.771082973895299,-2.3748882232559176
p01,YesNo,-0.9491276392979731,-0.9008331394309471
p17,YesNo,-1.992023751567778,-0.23868268515154328
p05,YesNo,-1.181715438504472,-1.5117972837006695
p13,YesNo,-1.776349340737724,-0.9925540066358755
p14,YesNo,-1.4550959081999713,-1.2105305841468434
p11,YesNo,-1.7867499676985528,-1.8623124110372693
p08,YesNo,-0.794922009963644,-0.4896958491454637
p03,YesNo,-1.1986731784462754,-0.7397921431994312
p09,YesNo,-0.750678855880589,-1.0416186568970514
p06,YesNo,-1.9879348581907432,-0.9796054916816338
p10,YesNo,-1.4295336895370796,-0.7242811459095694
p16,hIndex,-1.6416988729119537,-2.27778809359519
p02,hIndex,-2.170765447960883,-2.005046132229409
p04,hIndex,-2.5272759041494868,-2.370825515022841
p07,hIndex,-3.0377894406733903,-2.0070061890197404
p18,hIndex,-2.2008357471864013,-0.4775531966056629
p19,hIndex,-2.0366891991613434,-2.1489885976611927
p15,hIndex,-2.107179789302715,-2.5360751762089526
p01,hIndex,-1.4503214824529431,-1.3770619038659253
p17,hIndex,-2.5615684748742984,-0.8680648513216236
p05,hIndex,-1.1690533990740057,-1.5120730312488475
p13,hIndex,-1.5691130610094297,-2.4022334701495867
p14,hIndex,-2.3914556499217845,-1.993435656457406
p11,hIndex,-3.2789634998104553,-2.9028669107024294
p08,hIndex,-1.4851603557291573,-2.109983858353832
p03,hIndex,-2.5079391125090456,-2.0135553210272006
p09,hIndex,-0.9303461845074046,-0.5794334625660923
p06,hIndex,-1.9067825156629299,-1.7744388079707472
p10,hIndex,-2.1707455162641756,-1.917141195011191
p16,isHurricane,-1.5626956346958627,-1.0412670009974998
p02,isHurricane,-1.267398352292269,-1.9002171699536732
p04,isHurricane,-2.569837903116534,-2.095237089304378
p07,isHurricane,-0.7483229432828304,-0.3832751576463476
p18,isHurricane,-0.9347461026631689,-0.7221591455430436
p19,isHurricane,-2.6660926277919472,-1.9131151646930742
p15,isHurricane,-1.045123961561251,-0.917162910713942
p01,isHurricane,-1.8270739264130726,-1.5207008400341744
p17,isHurricane,-1.3270065996355163,-0.5234174565715732
p05,isHurricane,-2.1863719994366084,-0.9389758039854768
p13,isHurricane,-2.2090624642907484,-1.7721737915174707
p14,isHurricane,-1.6754854934371202,-1.4142909444453384
p11,isHurricane,-1.2414172645813173,-0.7283982146970847
p08,isHurricane,-1.7269854028459484,-1.54539544852918
p03,isHurricane,-2.1875606796245943,-1.8140620295912768
p09,isHurricane,-2.00104733311623,-1.065747406858374
p06,isHurricane,-1.1026830007000663,-0.1440680478413271
p10,isHurricane,-2.8610913925761454,-1.8191432970504695
p16,isPalindrome,-1.700924875707568,-1.2248604485642618
p02,isPalindrome,-2.291755164929651,-1.9548774063435164
p04,isPalindrome,-1.829383725366422,-2.0072986203241143
p07,isPalindrome,-1.8158283816788836,-1.1281461896539513
p18,isPalindrome,-1.335383198423171,-0.4059190918508268
p19,isPalindrome,-2.0848635612742057,-1.5879955356528919
p15,isPalindrome,-2.221408931222946,-2.160594489253561
p01,isPalindrome,-1.04668212671027,-1.2726157741523867
p17,isPalindrome,-3.6259609709698584,-2.5409461230200208
p05,isPalindrome,-2.6865304980426568,-2.071876197912051
p13,isPalindrome,-2.2201669298487436,-1.2051450676815652
p14,isPalindrome,-1.4850448360726567,-1.4738417238760357
p11,isPalindrome,-2.7544520797764878,-1.7073913416483006
p08,isPalindrome,-1.211777404348212,-0.6378644249026538
p03,isPalindrome,-2.436184233763923,-1.9051006348388868
p09,isPalindrome,-2.383992348623809,-1.4945933852349693
p06,isPalindrome,-2.3508604187669544,-1.7098446437974526
p10,isPalindrome,-2.390585907751178,-1.6951761843552102
p16,lengthOfLastWord,-2.918762092726065,-2.271625401313345
p02,lengthOfLastWord,-2.6979154672979995,-2.2707492312967283
p04,lengthOfLastWord,-1.794316730643963,-2.060524674316843
p07,lengthOfLastWord,-1.2147783991936736,-0.8367327666498641
p18,lengthOfLastWord,-2.347766560634512,-0.47397249562893046
p19,lengthOfLastWord,-2.008675206885022,-2.089221522248747
p15,lengthOfLastWord,-1.4661063378761257,-2.5213078551684474
p01,lengthOfLastWord,-1.3403573771369794,-1.1045489366508254
p17,lengthOfLastWord,-1.8567886563916098,-0.46475805627381184
p05,lengthOfLastWord,-2.3826591922053972,-1.5611286147067645
p13,lengthOfLastWord,-2.182932492705926,-2.5477650775917073
p14,lengthOfLastWord,-2.426844761903233,-2.2095466531265058
p11,lengthOfLastWord,-1.803207246347346,-1.8042105830584674
p08,lengthOfLastWord,-2.516711645107783,-2.4426563112858775
p03,lengthOfLastWord,-1.7609282261864565,-1.9868287527823303
p09,lengthOfLastWord,-1.3220378675912154,-0.7670519546952208
p06,lengthOfLastWord,-2.798052297370422,-1.3919704179745442
p10,lengthOfLastWord,-1.7814867002921564,-1.7849301782631455
